transaction_id,customer_name,mobile_number,transaction_amount,payment_method,transaction_type,transaction_time,location,merchant_name,device_type,ip_address
TXN1040,Carrie Reed,2530616478,12500.13,Debit Card,Debit,14-04-2026 10:50,Delhi,Paytm,Web,184.166.43.137
TXN1041,Paula Miller,8839071930,65719.36,UPI,Debit,08-02-2026 07:24,Mumbai,Myntra,Web,17.83.75.75
TXN1042,Terry Shaw,2423865528,9532.8,Net Banking,Debit,13-02-2026 18:38,Pune,PhonePe,Web,191.13.79.250
TXN1043,Ian Wells,4273043370,39532.64,Credit Card,Debit,26-02-2026 06:18,Mysore,Paytm,iPhone,67.115.248.4
TXN1044,Elaine Compton,8715648548,83603.26,Credit Card,Credit,27-02-2026 09:18,Delhi,Amazon,Web,216.222.127.206
TXN1045,Christopher Jimenez,4151818704,89855.72,Credit Card,Debit,22-02-2026 20:03,Chennai,Amazon,Android,28.252.26.0
TXN1046,Jeffrey Phillips,9343231714,11418.2,UPI,Debit,19-01-2026 22:04,Delhi,Zomato,Web,110.81.56.85
TXN1047,Allison Martin,6138329376,54996.11,UPI,Debit,18-02-2026 02:27,Delhi,Myntra,Android,183.108.17.149
TXN1048,Diane Bailey,4831258427,3112.35,Net Banking,Credit,16-01-2026 08:49,Pune,PhonePe,Web,58.11.114.249
TXN1049,Richard Miller,9164051353,44838.61,Debit Card,Debit,11-04-2026 21:59,Hyderabad,Paytm,Web,82.217.12.180
TXN1050,Timothy Martinez,9804063650,29627.35,Debit Card,Credit,20-01-2026 18:03,Delhi,Myntra,iPhone,132.221.231.88
TXN1051,John Schneider,8783606679,40261.4,Debit Card,Debit,06-01-2026 11:47,Bangalore,Swiggy,iPhone,214.190.70.174
TXN1052,Elizabeth Reynolds,6891924558,34608.31,UPI,Debit,04-05-2026 16:44,Hyderabad,Zomato,iPhone,120.33.164.173
TXN1053,Steven Hayes,413927405,69262.06,Net Banking,Credit,22-04-2026 22:51,Delhi,Swiggy,Web,7.192.108.204
TXN1054,Paula Lopez,7228519568,93738.82,Credit Card,Credit,22-01-2026 07:47,Hyderabad,Zomato,iPhone,178.182.234.236
TXN1055,Samuel Moore,4564821774,94671.36,Debit Card,Debit,10-01-2026 11:06,Mumbai,Amazon,Web,118.99.113.90
TXN1056,Thomas Alvarez,86812620,20696.86,Debit Card,Debit,05-01-2026 02:45,Pune,Paytm,iPhone,50.198.65.89
TXN1057,Ruth Frazier,7502227605,29586.62,UPI,Credit,11-05-2026 14:30,Mysore,Swiggy,Web,180.15.198.56
TXN1058,Megan Anthony,7682447721,67199.17,Credit Card,Debit,23-01-2026 08:04,Hyderabad,Amazon,Android,73.163.101.102
TXN1059,Brian Hopkins,600028691,16676.62,UPI,Debit,06-04-2026 03:47,Delhi,Myntra,Android,63.19.16.134
TXN1060,Paige Boyd,4317707625,39139.32,Net Banking,Debit,04-04-2026 23:54,Mumbai,Swiggy,Web,197.67.164.138
TXN1061,Andrew Ponce,4727784982,15801.05,UPI,Credit,30-03-2026 05:32,Delhi,Swiggy,Android,6.113.199.253
TXN1062,Alan Figueroa,3372759233,16065.71,Debit Card,Debit,20-02-2026 15:47,Bangalore,Swiggy,iPhone,203.252.134.115
TXN1063,Joe Mitchell,8770803012,3761.74,Debit Card,Debit,24-05-2026 20:40,Bangalore,Flipkart,iPhone,134.185.196.188
TXN1064,Stephanie Bird,1420052807,81912.11,Net Banking,Debit,08-03-2026 07:41,Mysore,Swiggy,Web,63.79.159.181
TXN1065,Anna Avery,7902266665,71392.54,UPI,Credit,22-05-2026 02:06,Delhi,Flipkart,Web,69.142.226.114
TXN1066,Christy West,8788972622,35951.53,Net Banking,Debit,06-01-2026 15:23,Bangalore,Zomato,iPhone,100.135.156.26
TXN1067,Jennifer Dillon DDS,728210488,66197.14,Net Banking,Credit,13-01-2026 06:16,Mumbai,Amazon,Android,165.20.44.175
TXN1068,Tracy Miller,5085485069,3841.92,Debit Card,Credit,11-05-2026 21:05,Mumbai,Myntra,Web,73.10.60.119
TXN1069,Jeffrey Webb,6686228959,74731.15,Debit Card,Credit,22-03-2026 06:33,Pune,Amazon,Web,174.215.55.147
TXN1070,Angela Morgan,1096974703,22829.35,UPI,Debit,17-03-2026 19:52,Hyderabad,Zomato,Web,94.244.62.228
TXN1071,Brent Romero,3018187439,76215.13,Debit Card,Debit,05-05-2026 16:38,Mysore,PhonePe,Web,143.68.13.30
TXN1072,Kimberly Marshall,8223923856,77653.14,Net Banking,Debit,29-01-2026 17:23,Delhi,Zomato,iPhone,148.6.209.96
TXN1073,Rick Campos,7436913632,11538.16,Credit Card,Credit,22-01-2026 02:52,Mysore,Swiggy,Android,167.152.174.37
TXN1074,Angela Paul,2026537049,45761.15,UPI,Credit,04-01-2026 23:33,Hyderabad,Paytm,Android,37.71.14.179
TXN1075,Madeline Henderson,9638680379,3891.91,Credit Card,Credit,26-04-2026 17:49,Mysore,Myntra,Android,185.61.249.246
TXN1076,Richard Rodriguez,9393571832,76229.48,Net Banking,Debit,18-05-2026 04:30,Pune,Flipkart,iPhone,178.195.29.23
TXN1077,Kimberly Rose,4636916134,44707.43,Debit Card,Credit,28-02-2026 06:55,Delhi,PhonePe,Web,101.102.57.198
TXN1078,Benjamin Ewing,9487546070,69821.22,Net Banking,Debit,04-05-2026 12:51,Delhi,Myntra,Android,98.164.5.20
TXN1079,Tammy Lloyd,9531698814,23402.98,Net Banking,Debit,07-05-2026 06:14,Mysore,Zomato,Web,149.134.115.124
TXN1080,Kelly Andrews,6498794676,73121.84,UPI,Debit,16-03-2026 09:02,Chennai,Paytm,Android,12.119.232.140
TXN1081,Haley Romero,1632165610,25432.17,UPI,Debit,12-01-2026 03:02,Mumbai,Myntra,Web,162.233.120.251
TXN1082,Jessica Burch,8879797690,6867.92,UPI,Credit,01-01-2026 03:51,Pune,Flipkart,Android,86.17.143.191
TXN1083,Patrick Young,1712191989,2139.74,Debit Card,Credit,28-05-2026 08:50,Pune,Amazon,Android,178.3.124.12
TXN1084,Seth Weber,3401997875,2362.92,Debit Card,Debit,27-04-2026 15:33,Chennai,PhonePe,iPhone,212.79.147.106
TXN1085,Kimberly Cooper,7178140861,54740.54,Credit Card,Debit,10-05-2026 21:10,Mysore,Flipkart,iPhone,110.3.75.103
TXN1086,Marissa Arroyo,4300376323,7846.76,Net Banking,Debit,10-01-2026 00:50,Hyderabad,Zomato,Android,188.176.155.80
TXN1087,Ronald Frey,4163374679,38613.14,Debit Card,Credit,18-02-2026 19:12,Hyderabad,PhonePe,Web,186.255.90.219
TXN1088,Trevor Benson,1398319417,34326.07,Debit Card,Debit,07-01-2026 09:18,Mysore,Swiggy,Android,81.216.167.163
TXN1089,Gary Harvey,7725415484,19784.14,Credit Card,Credit,07-03-2026 07:21,Delhi,PhonePe,Android,16.215.176.117
TXN1090,Manuel Jenkins,3524498613,82313.99,UPI,Debit,02-01-2026 17:44,Bangalore,Amazon,Web,130.243.222.69
TXN1091,Danielle Phillips,6607564644,17144.71,Credit Card,Credit,11-03-2026 20:26,Delhi,Zomato,Android,99.124.15.72
TXN1092,Jennifer Powers,7729817515,25466.19,UPI,Credit,16-05-2026 09:54,Mumbai,Zomato,iPhone,177.8.208.42
TXN1093,Pamela Johnson,7122149686,7566.82,Credit Card,Debit,29-03-2026 02:29,Delhi,PhonePe,iPhone,11.87.174.83
TXN1094,Troy Perez,7922452713,78886,Debit Card,Debit,12-02-2026 08:05,Bangalore,Swiggy,iPhone,85.92.179.154
TXN1095,Francisco Pennington,3367294383,98412.83,Net Banking,Credit,16-04-2026 21:29,Hyderabad,Myntra,Web,36.161.166.152
TXN1096,Cameron Turner,3173552815,49971.32,UPI,Credit,22-05-2026 08:21,Mumbai,PhonePe,iPhone,216.230.1.171
TXN1097,Edward Martin,9713163851,14092.49,Net Banking,Credit,13-03-2026 02:21,Mysore,Amazon,Web,21.207.172.30
TXN1098,Eugene Gutierrez,3433060803,82918.05,Credit Card,Credit,25-05-2026 14:31,Chennai,Swiggy,iPhone,62.127.242.123
TXN1099,Patrick Velasquez,8788059355,7616.12,Credit Card,Credit,12-01-2026 09:23,Chennai,PhonePe,Web,176.36.28.131
TXN1100,Kathy Martinez,4649008391,95938.25,Net Banking,Credit,21-03-2026 11:44,Hyderabad,Amazon,Android,19.251.254.45
TXN1101,James Sullivan,5040932187,46338.98,Net Banking,Credit,27-01-2026 10:19,Chennai,Swiggy,Web,216.171.72.21
TXN1102,Barbara Ayers,1805306198,72888.53,Debit Card,Credit,09-03-2026 07:43,Mumbai,Myntra,iPhone,148.129.217.92
TXN1103,Sarah Bray,9081148519,14462.99,Debit Card,Credit,04-02-2026 23:43,Hyderabad,Amazon,Web,162.25.0.216
TXN1104,Brian Lynch,7427591581,73070.24,Net Banking,Debit,14-02-2026 01:10,Delhi,Zomato,Web,198.178.163.80
TXN1105,John Richmond,5179692986,28583.43,Net Banking,Debit,19-01-2026 23:37,Pune,Zomato,iPhone,154.1.194.199
TXN1106,Erika Simpson,3224294119,70921.13,UPI,Credit,12-02-2026 18:58,Mysore,PhonePe,iPhone,216.155.138.71
TXN1107,Nicole Matthews,5866760352,96115.56,Credit Card,Debit,17-04-2026 08:49,Mumbai,Myntra,Android,155.23.235.80
TXN1108,Steven Allen,2388816556,52900.01,UPI,Debit,17-01-2026 12:06,Mumbai,Flipkart,Android,70.180.147.77
TXN1109,Shirley White,8021323446,89825.25,Net Banking,Credit,01-05-2026 10:00,Mumbai,Zomato,Android,44.141.22.34
TXN1110,Maxwell Jordan,9953242466,35757.31,Debit Card,Credit,16-03-2026 06:34,Chennai,Swiggy,iPhone,50.248.208.151
TXN1111,Frederick Clark,5571040918,69180.67,Debit Card,Debit,15-01-2026 19:53,Hyderabad,Paytm,Web,206.85.177.38
TXN1112,Willie Quinn,8120074616,6737.7,UPI,Debit,03-04-2026 23:15,Chennai,Paytm,Web,12.67.151.56
TXN1113,Justin Harris,7601471595,36784.62,Credit Card,Debit,31-01-2026 01:30,Bangalore,Swiggy,Android,211.172.85.119
TXN1114,Daryl Hernandez,4236499919,57030.36,Credit Card,Credit,08-03-2026 20:42,Bangalore,Amazon,iPhone,59.250.244.196
TXN1115,Alexis Martinez,8260319146,93137.57,Debit Card,Credit,13-02-2026 02:01,Delhi,Swiggy,iPhone,16.41.128.219
TXN1116,Michelle Rodriguez,9553378229,75005.48,Net Banking,Debit,10-05-2026 07:30,Mysore,Swiggy,iPhone,30.162.210.145
TXN1117,Jo Gordon,7497378388,25638.03,UPI,Debit,09-05-2026 08:21,Hyderabad,Swiggy,Web,38.153.239.94
TXN1118,Shelly Gonzalez,2271019192,32336.79,Credit Card,Debit,27-01-2026 10:08,Hyderabad,Swiggy,Android,85.100.216.4
TXN1119,Raymond Rowe,7928825927,65870.41,Credit Card,Credit,07-01-2026 12:51,Pune,Myntra,Web,186.246.17.219
TXN1120,Kristin Gaines,8574295047,20743.28,Credit Card,Debit,15-04-2026 08:03,Mysore,Swiggy,Android,124.55.123.47
TXN1121,Cynthia Reynolds,1118129533,19099.91,UPI,Debit,01-02-2026 18:12,Mumbai,Flipkart,Web,79.38.169.76
TXN1122,Dr. Maureen Stuart,6773504280,63001.28,UPI,Debit,03-04-2026 00:14,Delhi,Swiggy,Web,164.48.68.216
TXN1123,Lori Neal,2850959473,26608.75,Debit Card,Credit,06-03-2026 05:34,Mysore,Amazon,Web,174.167.232.94
TXN1124,Christine Smith,5080279252,33850.12,Credit Card,Debit,28-01-2026 07:15,Delhi,PhonePe,Web,96.131.118.125
TXN1125,Randy Anderson,9652647173,14019.69,Credit Card,Debit,05-02-2026 14:24,Mumbai,Zomato,Android,67.234.27.160
TXN1126,Christopher Gates,6966844492,18978.5,Debit Card,Credit,09-01-2026 00:24,Mysore,Amazon,Web,79.167.144.175
TXN1127,Suzanne Coleman,2866937503,14171.55,UPI,Debit,09-05-2026 14:48,Hyderabad,Flipkart,Web,171.214.65.71
TXN1128,Jason Mckinney,9270624064,32568.4,UPI,Debit,27-04-2026 08:24,Mysore,Swiggy,Web,172.137.185.10
TXN1129,Pamela Lamb,2070760568,37774.63,Net Banking,Credit,22-02-2026 02:22,Hyderabad,Flipkart,Android,71.85.177.34
TXN1130,Jonathan Long,5971372497,49283.17,Net Banking,Credit,03-01-2026 01:46,Delhi,Zomato,iPhone,106.155.68.177
TXN1131,Matthew Brown,7797235663,77844.17,Net Banking,Credit,14-05-2026 17:53,Bangalore,Swiggy,iPhone,173.1.26.58
TXN1132,Mitchell Lutz,5356422874,40637.8,Credit Card,Debit,15-03-2026 09:43,Mysore,Myntra,Android,205.208.39.216
TXN1133,Morgan Compton,8374587277,91920.6,Credit Card,Credit,27-03-2026 15:28,Pune,Myntra,Web,39.146.0.26
TXN1134,Thomas Holden,4988927609,61890.04,Credit Card,Credit,24-03-2026 18:07,Mysore,Swiggy,Web,174.101.163.120
TXN1135,Pamela Myers,7286718586,51748.87,Net Banking,Debit,10-01-2026 04:34,Bangalore,Flipkart,Android,19.24.206.85
TXN1136,Mr. Justin Payne,1167284375,79298.49,Net Banking,Debit,07-02-2026 19:55,Bangalore,PhonePe,Android,2.116.34.69
TXN1137,Mike Payne,8747002903,16945.79,Debit Card,Credit,06-05-2026 16:43,Delhi,Flipkart,Web,3.107.16.242
TXN1138,Leonard Page,6934292920,2787.2,Debit Card,Credit,11-02-2026 21:30,Pune,Swiggy,Web,177.117.167.92
TXN1139,Mr. John Garcia,4059593511,70829.4,Credit Card,Credit,28-04-2026 13:21,Chennai,Amazon,iPhone,50.33.32.113
TXN1140,Judy Pierce,2882300682,63465.65,UPI,Credit,14-03-2026 12:00,Bangalore,Amazon,Android,197.118.140.246
TXN1141,Larry Zuniga,7172537695,45696.78,Net Banking,Credit,23-01-2026 07:39,Delhi,Swiggy,Android,40.186.132.229
TXN1142,Casey Gonzalez,4289777664,60659.32,Net Banking,Debit,03-04-2026 00:58,Mumbai,Paytm,iPhone,113.58.43.179
TXN1143,Ralph Barrett,8640463375,54239.61,UPI,Debit,03-03-2026 08:24,Chennai,Swiggy,Android,194.163.34.58
TXN1144,Brandon Brooks,3705648750,49509.45,Credit Card,Debit,23-04-2026 22:32,Hyderabad,Myntra,Web,54.131.46.58
TXN1145,Greg Campos Jr.,6962659022,20568.8,Debit Card,Credit,17-03-2026 11:06,Pune,Swiggy,iPhone,49.66.76.140
TXN1146,Jeremy Jennings,2771254040,79635.74,Net Banking,Credit,01-04-2026 07:54,Mumbai,Swiggy,Android,23.237.219.231
TXN1147,Connie Figueroa,292911485,11642.38,Credit Card,Debit,29-03-2026 02:10,Chennai,Paytm,Web,152.150.75.44
TXN1148,Christine Hawkins,4243661128,67122.49,Net Banking,Credit,19-01-2026 21:01,Pune,Paytm,Web,162.136.53.155
TXN1149,Barbara Matthews,1140340135,9385.2,UPI,Debit,13-01-2026 15:11,Hyderabad,Flipkart,iPhone,166.10.235.246
TXN1150,Joshua Brooks MD,5264272170,57154.59,Credit Card,Debit,03-01-2026 03:09,Mumbai,PhonePe,Web,118.65.21.189
TXN1151,Timothy Huynh,5722234578,96636.94,Net Banking,Debit,08-02-2026 07:45,Pune,Flipkart,iPhone,139.15.78.204
TXN1152,David Williams,5731767829,59867.02,UPI,Debit,26-01-2026 07:44,Bangalore,Amazon,iPhone,165.38.21.91
TXN1153,Scott Jones,171283904,80296.75,UPI,Credit,26-03-2026 06:32,Delhi,Amazon,Android,7.245.249.4
TXN1154,Sally Logan,5932900165,67785.77,Debit Card,Debit,14-02-2026 06:11,Mumbai,Myntra,Android,3.4.188.189
TXN1155,David Jones,7251844847,81451.28,UPI,Credit,25-04-2026 23:09,Delhi,Flipkart,Web,9.213.209.159
TXN1156,Brenda Davis,2236841579,11759.66,Credit Card,Debit,08-04-2026 08:23,Hyderabad,PhonePe,Android,170.129.81.214
TXN1157,Joshua Richardson,1586457817,86442.83,UPI,Credit,21-02-2026 06:39,Mysore,Zomato,Web,101.42.175.22
TXN1158,Laurie Johnson,4489930802,11235.1,Net Banking,Debit,05-05-2026 11:38,Hyderabad,Zomato,Android,182.82.65.169
TXN1159,Jaime Armstrong,609145632,4026.21,Debit Card,Credit,31-03-2026 01:40,Mumbai,Zomato,Android,135.169.187.132
TXN1160,Robert Mooney,4352149660,64999.43,Credit Card,Credit,04-02-2026 12:11,Delhi,Zomato,Android,207.21.47.200
TXN1161,Lauren Johnson,6702319331,33069.17,Net Banking,Credit,22-04-2026 12:47,Delhi,PhonePe,iPhone,156.13.150.170
TXN1162,Kimberly Sims,1881823324,5164.75,Credit Card,Debit,15-05-2026 02:52,Bangalore,Flipkart,iPhone,150.228.183.101
TXN1163,Michael Arias,7685191443,59962.49,Debit Card,Credit,01-01-2026 13:03,Chennai,Paytm,Web,173.184.235.115
TXN1164,David Weber,7430883418,12154.83,Credit Card,Credit,06-02-2026 11:01,Mysore,Myntra,Web,58.70.0.111
TXN1165,Alyssa Jackson,2351460697,45598.74,Debit Card,Credit,21-04-2026 13:38,Mumbai,Myntra,Web,117.23.97.40
TXN1166,Michael Wolf,8738581176,76579.61,UPI,Debit,10-03-2026 02:59,Mysore,Amazon,Web,162.163.36.127
TXN1167,Elizabeth Cannon,2448770333,69639.13,UPI,Credit,10-02-2026 13:04,Pune,Flipkart,Web,37.252.117.47
TXN1168,Melissa Long,2679868119,45324.14,Net Banking,Credit,30-04-2026 16:38,Bangalore,Paytm,iPhone,172.142.76.210
TXN1169,Lauren Clark,1967120143,10901.45,Debit Card,Debit,17-04-2026 06:25,Mumbai,Zomato,Android,101.79.114.111
TXN1170,Jason Rodgers,7963125806,61179.72,Credit Card,Debit,04-02-2026 08:03,Mumbai,Amazon,Android,179.82.53.46
TXN1171,Dean Wilkins,4408299545,91761.4,Net Banking,Debit,13-04-2026 17:15,Chennai,Amazon,iPhone,202.59.52.224
TXN1172,Jennifer Velasquez,5304042696,7501.52,Net Banking,Debit,11-03-2026 03:18,Delhi,Paytm,Android,131.86.146.189
TXN1173,Richard Mitchell,7237663984,57682.06,Net Banking,Debit,15-02-2026 16:51,Pune,Amazon,Android,34.112.131.6
TXN1174,Robert Ferguson,3378897417,3270.2,UPI,Credit,08-03-2026 15:34,Mysore,Amazon,Android,195.31.113.7
TXN1175,Virginia Gray,9971424162,40842.29,Net Banking,Credit,19-04-2026 18:51,Hyderabad,Zomato,iPhone,66.55.123.229
TXN1176,Melissa Walters,3834886475,87594.68,Debit Card,Credit,12-01-2026 05:24,Mumbai,Swiggy,Web,198.140.96.4
TXN1177,Melissa Green,8447051572,32975.76,Credit Card,Debit,19-02-2026 09:02,Pune,Zomato,Web,199.1.172.109
TXN1178,Ronald Wagner,1869459651,11183.56,Net Banking,Debit,25-01-2026 07:30,Mysore,PhonePe,Android,143.248.137.54
TXN1179,Amanda Alvarado,5974766618,13285.53,Debit Card,Debit,08-01-2026 09:44,Mysore,PhonePe,Android,80.229.222.209
TXN1180,Kelly Bass,9454137447,96339.03,Credit Card,Debit,21-03-2026 12:54,Pune,Flipkart,Android,215.130.5.4
TXN1181,Samuel Rose Jr.,3340768118,24473.44,Debit Card,Credit,29-03-2026 12:44,Mumbai,Swiggy,Web,73.54.66.204
TXN1182,Erica Benjamin,802934300,36331.25,Net Banking,Debit,07-04-2026 22:47,Mysore,Amazon,Android,108.113.194.71
TXN1183,Monique Lynn,1146857700,84072,Debit Card,Credit,10-02-2026 11:24,Hyderabad,Myntra,Web,160.107.152.115
TXN1184,Carrie Blackburn,6560532151,44694.71,UPI,Debit,23-05-2026 15:59,Delhi,Zomato,iPhone,137.6.119.196
TXN1185,Mark Yates,9873986012,35800.15,UPI,Debit,15-04-2026 04:53,Delhi,Flipkart,iPhone,78.50.70.104
TXN1186,John Martinez,7181454163,44631.55,UPI,Debit,27-03-2026 17:56,Mysore,Paytm,iPhone,160.86.149.38
TXN1187,Jennifer Palmer,2160994818,40579.19,Net Banking,Debit,21-02-2026 23:22,Mysore,Myntra,iPhone,222.241.61.105
TXN1188,Joseph Thomas,8957291967,31121.61,Debit Card,Debit,13-02-2026 06:38,Chennai,Swiggy,iPhone,84.10.244.145
TXN1189,Chad Wagner,6841882038,31958.41,UPI,Debit,09-02-2026 14:45,Hyderabad,Swiggy,iPhone,159.79.245.157
TXN1190,Jeffrey Meyer,5595991088,26421.03,Net Banking,Credit,11-04-2026 10:08,Mysore,Paytm,Android,69.0.110.120
TXN1191,Catherine Marshall,9800572685,8033.44,Net Banking,Debit,24-05-2026 23:32,Mysore,PhonePe,Android,178.34.200.53
TXN1192,Tonya Miller,8492921289,94499.1,Credit Card,Credit,05-02-2026 13:17,Bangalore,PhonePe,iPhone,51.119.82.119
TXN1193,Amber James,5942396990,72315.55,Net Banking,Credit,09-03-2026 01:11,Delhi,Swiggy,Android,26.50.95.114
TXN1194,William Gregory,2817197034,19821.18,Credit Card,Credit,19-03-2026 01:55,Pune,Amazon,iPhone,69.97.248.178
TXN1195,Joseph Zimmerman,6705019869,6682.18,Debit Card,Credit,24-05-2026 15:10,Delhi,Amazon,Web,118.151.177.179
TXN1196,Miss Lauren Mitchell,2816732129,60868.13,Net Banking,Debit,16-01-2026 08:59,Delhi,Paytm,Android,202.202.139.52
TXN1197,Mary Garcia,2837601657,22225.63,Credit Card,Credit,14-01-2026 11:45,Chennai,Swiggy,Web,114.155.110.220
TXN1198,Monique Wells,7487664771,58328.32,Credit Card,Credit,08-03-2026 16:24,Mumbai,Amazon,iPhone,77.163.177.242
TXN1199,Dana Roberts,3553674365,7631.45,Credit Card,Credit,27-01-2026 08:29,Hyderabad,Myntra,Web,30.20.235.80
TXN1200,Deanna Hale,9213152392,38050.4,UPI,Debit,15-03-2026 12:07,Hyderabad,Swiggy,Android,112.248.240.209
TXN1201,Ryan Lewis,1026724757,84832.66,Net Banking,Credit,10-03-2026 21:46,Mumbai,Zomato,Web,169.56.172.103
TXN1202,Bethany Wood,1002604299,22912.2,UPI,Debit,04-04-2026 18:50,Delhi,PhonePe,Android,200.60.229.20
TXN1203,Madeline Pittman,5823894456,42653.91,Net Banking,Credit,15-04-2026 09:01,Delhi,Paytm,iPhone,166.129.106.53
TXN1204,Gabriel Curry,2906799388,50122.32,Credit Card,Credit,06-04-2026 09:03,Bangalore,Myntra,iPhone,219.81.39.138
